Years of Experience,Age Average
0.0,23.2916666667
0.5,23.0
1.0,25.2111111111
1.5,27.8333333333
2.0,26.5606557377
3.0,27.7458471761
4.0,28.7068965517
5.0,29.6591478697
6.0,31.1867881549
7.0,31.6997167139
8.0,33.4131455399
9.0,33.7078947368
10.0,35.6822916667
11.0,36.584375
12.0,37.7891156463
13.0,40.7177033493
14.0,41.2450592885
15.0,43.8992248062
16.0,43.7768595041
17.0,49.858490566
18.0,47.1904761905
19.0,47.2396694215
20.0,46.8360655738
21.0,46.5714285714
22.0,47.8510638298
23.0,48.5135135135
24.0,49.7894736842
25.0,50.5
26.0,51.2857142857
27.0,53.2727272727
28.0,53.5625
29.0,53.5833333333
30.0,55.3333333333
31.0,54.0
32.0,54.0
33.0,58.0
34.0,60.0
